Name Band MJD Mag Magerr
2006T U 53777.30954 16.735 0.227
2006T U 53797.27932 18.346 0.237
2006T U 53800.27273 18.582 0.296
2006T U 53803.29907 18.947 0.352
2006T B 53770.36768 17.797 0.025
2006T B 53779.33259 16.848 0.052
2006T B 53786.34338 17.098 0.019
2006T B 53787.33585 17.233 0.02
2006T B 53788.31358 17.371 0.018
2006T B 53794.2828 17.979 0.023
2006T B 53797.2831 18.34 0.044
2006T B 53798.29148 18.334 0.027
2006T B 53800.27651 18.427 0.038
2006T B 53803.29602 18.594 0.083
2006T B 53811.25173 18.856 0.094
2006T B 53815.23674 18.803 0.051
2006T B 53817.24074 18.762 0.059
2006T B 53818.22968 18.69 0.089
2006T B 53827.20053 18.779 0.055
2006T B 53831.16523 18.892 0.084
2006T B 53832.20518 18.877 0.09
2006T B 53833.15093 18.945 0.057
2006T B 53840.20005 18.811 0.194
2006T B 53841.15646 19.056 0.095
2006T B 53843.16222 18.931 0.042
2006T B 53845.15623 19.023 0.053
2006T V 53770.36211 16.853 0.015
2006T V 53776.34071 15.931 0.022
2006T V 53777.30358 15.868 0.026
2006T V 53779.32285 15.741 0.014
2006T V 53786.33363 15.912 0.013
2006T V 53787.33016 15.991 0.013
2006T V 53788.30793 16.082 0.013
2006T V 53794.27714 16.57 0.013
2006T V 53797.27333 16.838 0.03
2006T V 53798.28583 16.815 0.014
2006T V 53800.26678 16.919 0.016
2006T V 53803.29038 17.07 0.025
2006T V 53808.24498 17.341 0.061
2006T V 53811.24604 17.486 0.032
2006T V 53815.23374 17.442 0.025
2006T V 53817.23772 17.538 0.024
2006T V 53818.22403 17.6 0.044
2006T V 53827.19751 17.658 0.026
2006T V 53828.17626 17.748 0.07
2006T V 53831.16221 17.782 0.041
2006T V 53832.19949 17.78 0.039
2006T V 53833.14792 17.828 0.053
2006T V 53837.18162 17.918 0.03
2006T V 53841.15344 17.895 0.036
2006T V 53843.15921 17.889 0.03
2006T V 53845.15322 17.905 0.024
2006T r 53776.33738 15.779 0.024
2006T r 53777.30028 15.657 0.018
2006T r 53779.31954 15.572 0.02
2006T r 53786.33034 15.607 0.015
2006T r 53787.33256 15.659 0.015
2006T r 53788.3103 15.728 0.014
2006T r 53794.27952 16.112 0.013
2006T r 53797.27004 16.302 0.023
2006T r 53798.28821 16.306 0.015
2006T r 53800.26348 16.444 0.016
2006T r 53803.29277 16.601 0.019
2006T r 53807.25106 16.86 0.027
2006T r 53808.24027 16.848 0.026
2006T r 53811.24843 16.92 0.023
2006T r 53815.22898 17.008 0.021
2006T r 53817.233 17.077 0.022
2006T r 53818.2264 17.063 0.03
2006T r 53827.19279 17.248 0.019
2006T r 53828.17152 17.281 0.03
2006T r 53831.15749 17.36 0.027
2006T r 53832.2019 17.321 0.019
2006T r 53833.14317 17.382 0.025
2006T r 53837.17692 17.454 0.024
2006T r 53840.19232 17.546 0.041
2006T r 53841.14872 17.494 0.025
2006T r 53843.15449 17.562 0.022
2006T r 53845.14847 17.583 0.025
2006T i 53776.33901 15.854 0.027
2006T i 53777.30187 15.759 0.019
2006T i 53779.32113 15.629 0.016
2006T i 53786.33192 15.599 0.016
2006T i 53787.33417 15.633 0.016
2006T i 53788.3119 15.674 0.015
2006T i 53794.28113 15.94 0.013
2006T i 53797.27162 16.071 0.024
2006T i 53798.2898 16.061 0.015
2006T i 53800.26507 16.169 0.015
2006T i 53803.29435 16.317 0.016
2006T i 53811.25003 16.608 0.018
2006T i 53815.23131 16.714 0.019
2006T i 53817.2353 16.791 0.019
2006T i 53818.22801 16.81 0.029
2006T i 53827.19512 16.966 0.019
2006T i 53828.17383 17.02 0.037
2006T i 53831.15978 17.084 0.024
2006T i 53832.20351 17.148 0.024
2006T i 53833.14549 17.087 0.036
2006T i 53837.17922 17.224 0.022
2006T i 53840.19463 17.288 0.031
2006T i 53841.15103 17.27 0.023
2006T i 53843.15679 17.355 0.023
2006T i 53845.15079 17.375 0.019
