Name Band MJD Mag Magerr
2004aw U 53085.33138 17.793 0.055
2004aw U 53091.45057 18.41 0.114
2004aw U 53092.4508 18.383 0.101
2004aw B 53085.32315 17.923 0.033
2004aw B 53087.2694 17.93 0.047
2004aw B 53091.44736 18.109 0.047
2004aw B 53092.4476 18.124 0.036
2004aw B 53096.23422 18.476 0.058
2004aw B 53112.27721 19.171 0.059
2004aw V 53085.3153 17.37 0.024
2004aw V 53086.2328 17.283 0.038
2004aw V 53087.26331 17.268 0.027
2004aw V 53091.44123 17.119 0.021
2004aw V 53092.4415 17.213 0.019
2004aw V 53096.22812 17.255 0.024
2004aw V 53109.30067 17.879 0.033
2004aw V 53112.27111 18.01 0.032
2004aw R 53085.31799 17.04 0.023
2004aw R 53086.23527 17.089 0.054
2004aw R 53087.26578 16.926 0.024
2004aw R 53091.44372 16.802 0.037
2004aw R 53092.44398 16.807 0.022
2004aw R 53096.23059 16.796 0.019
2004aw R 53109.30315 17.188 0.024
2004aw R 53112.27358 17.275 0.025
2004aw I 53085.31984 16.768 0.029
2004aw I 53086.23704 16.595 0.059
2004aw I 53087.26756 16.654 0.023
2004aw I 53092.44576 16.417 0.019
2004aw I 53096.23236 16.333 0.022
2004aw I 53109.30492 16.629 0.025
2004aw I 53112.27535 16.696 0.032
